,Date,Unix,Ticker,DE Ration,Price,stock_p_change,SP500,sp500_p_change,Difference
206,2005-02-25 15:10:44,1109365844.0,adsk,0.0,29.83,61.767895878524925,1211.369995,6469.25159978308,-6407.483703904555
207,2004-08-03 23:39:21,1091594361.0,adsk,0.0,39.96,116.70281995661604,1099.689941,5863.611393709327,-5746.908573752711
208,2004-06-20 07:36:21,1087734981.0,adsk,0.0,39.4,113.66594360086766,1132.050049,6039.10004880694,-5925.434105206073
209,2004-08-10 13:06:18,1092161178.0,intc,0.029,22.57,0.0,1079.040039,4680.85972086841,-4680.85972086841
210,2008-10-27 19:10:01,1225152601.0,intc,0.061,14.4824,-35.83340717766947,848.919983,3661.275954807266,-3697.1093619849353
211,2008-01-23 06:52:14,1201092734.0,intc,0.05,18.63,-17.456801063358444,1338.599976,5830.88159503766,-5848.338396101019
212,2008-12-04 23:48:58,1228456138.0,intc,0.061,12.77,-43.420469649977846,845.2199710000001,3644.8824590163936,-3688.3029286663714
213,2007-04-08 11:36:21,1176050181.0,intc,0.055,19.58,-13.247673903411616,1443.76001,6296.809968985379,-6310.057642888791
214,2007-03-09 02:37:48,1173429468.0,intc,0.055,19.23,-14.798404962339387,1402.839966,6115.507159946832,-6130.305564909171
215,2007-04-09 13:23:28,1176143008.0,intc,0.055,19.58,-13.247673903411616,1444.609985,6300.575919361985,-6313.823593265397
216,2007-06-16 13:17:53,1182017873.0,intc,0.053,24.24,7.399202481169686,1515.670044,6615.4188923349575,-6608.019689853788
217,2008-12-04 11:00:21,1228410021.0,intc,0.061,13.66,-39.47718210013292,845.2199710000001,3644.8824590163936,-3684.3596411165263
218,2007-03-11 13:37:20,1173638240.0,intc,0.055,19.1,-15.374390784226843,1401.890015,6111.298249889233,-6126.672640673461
219,2007-05-16 07:58:53,1179320333.0,intc,0.053,22.01,-2.4811696942844423,1514.140015,6608.639853788215,-6611.121023482499
220,2007-07-18 00:53:38,1184738018.0,intc,0.053,26.3299,16.65883916703588,1546.170044,6750.554027470093,-6733.895188303058
221,2003-11-03 14:45:11,1067892311.0,intc,0.033,33.32,47.62959680992468,1059.02002,4592.157820115197,-4544.528223305272
222,2007-03-10 22:41:33,1173588093.0,intc,0.055,19.1,-15.374390784226843,1391.969971,6067.345906070004,-6082.7202968542315
223,2007-05-14 10:11:13,1179155473.0,intc,0.053,22.28,-1.2848914488258711,1503.150024,6559.946938413825,-6561.231829862651
224,2007-03-29 10:36:13,1175182573.0,intc,0.055,18.86,-16.437749224634473,1422.530029,6202.747137793532,-6219.184887018167
225,2005-03-05 10:13:17,1110039197.0,intc,0.023,24.68,9.34869295525033,1210.079956,5261.453061586177,-5252.104368630927
226,2007-10-13 16:07:49,1192309669.0,intc,0.052,25.55,13.203367301727958,1562.469971,6822.773464776252,-6809.570097474524
227,2007-02-27 21:15:57,1172632557.0,intc,0.055,20.03,-11.253876827647316,1399.040039,6098.670974745237,-6109.924851572884
228,2004-12-14 01:38:36,1103009916.0,intc,0.029,22.63,0.2658396101018995,1203.380005,5231.767855560479,-5231.502015950377
